flight_id,date,day_of_week,carrier,flight_number,tail_number,origin,origin_lat,origin_lon,dest,sched_dep_local,dep_hour,scheduled_arr_local,distance_km,temp_c,wind_speed_kmh,wind_gust_kmh,precip_mm,snowfall_cm,cloud_cover_pct,weather_code,dep_delay_min,arr_delay_min,delayed_15,cancelled,delay_cause,late_aircraft_delay_min,weather_delay_min,inbound_delay,sched_dep_datetime,prev_sched_arr,prev_date,turnaround_minutes,tight_turnaround,delay_probability,risk,reason_type,reason_text,recommended_action
2015-01-07_AA1080,2015-01-07,3,AA,1080,N004AA,ORD,41.9796,-87.90446,EGE,11:45,11,13:35,1621,-19.1,25.2,53.6,0.0,0.0,38,1,98.0,91.0,1.0,0,carrier,0.0,0.0,0.0,2015-01-07 11:45:00,,,120.0,0,0.5747115786113752,AMBER,weather,Moderate wind gusts (53 km/h),"Monitor weather, prepare for ground stop"
2015-01-07_AA2349,2015-01-07,3,AA,2349,N004AA,ORD,41.9796,-87.90446,DFW,18:45,18,21:14,1291,-19.8,13.2,35.3,0.0,0.0,9,0,90.0,65.0,1.0,0,late_aircraft,63.0,0.0,91.0,2015-01-07 18:45:00,13:35,2015-01-07,420.0,0,0.8723824850901444,RED,cascade,Inbound aircraft 91 min late on previous leg,Consider aircraft swap or extend turnaround
2015-01-10_AA1344,2015-01-10,6,AA,1344,N009AA,DEN,39.85841,-104.667,DFW,17:36,17,20:30,1032,3.5,10.6,14.4,0.0,0.0,33,1,19.0,18.0,1.0,0,carrier,0.0,0.0,0.0,2015-01-10 17:36:00,,,120.0,0,0.1658415779140983,GREEN,congestion,Evening peak congestion bank,Retime departure if possible to avoid peak
2015-01-11_AA1080,2015-01-11,7,AA,1080,N012AA,ORD,41.9796,-87.90446,EGE,11:45,11,13:35,1621,-5.2,11.7,24.5,0.0,0.0,97,3,-2.0,-13.0,0.0,0,none,,,0.0,2015-01-11 11:45:00,,,120.0,0,0.1454157478813099,GREEN,low_risk,Multiple minor factors combined,Monitor as normal
2015-01-11_AA2349,2015-01-11,7,AA,2349,N012AA,ORD,41.9796,-87.90446,DFW,18:45,18,21:14,1291,-1.8,8.4,17.3,0.0,0.07,100,71,37.0,87.0,1.0,0,nas,18.0,0.0,-13.0,2015-01-11 18:45:00,13:35,2015-01-11,420.0,0,0.8161029961429231,RED,congestion,Evening peak congestion bank,Retime departure if possible to avoid peak
2015-01-10_AA1080,2015-01-10,6,AA,1080,N013AA,ORD,41.9796,-87.90446,EGE,11:45,11,13:35,1621,-16.9,16.6,30.2,0.0,0.0,4,0,1.0,9.0,0.0,0,none,,,0.0,2015-01-10 11:45:00,,,120.0,0,0.2871957963813866,GREEN,low_risk,Multiple minor factors combined,Monitor as normal
2015-01-10_AA2349,2015-01-10,6,AA,2349,N013AA,ORD,41.9796,-87.90446,DFW,18:45,18,21:14,1291,-7.8,19.5,34.2,0.0,0.0,100,3,68.0,55.0,1.0,0,weather,0.0,55.0,9.0,2015-01-10 18:45:00,13:35,2015-01-10,420.0,0,0.689578659628543,AMBER,congestion,Evening peak congestion bank,Retime departure if possible to avoid peak
2015-01-08_AA1080,2015-01-08,4,AA,1080,N015AA,ORD,41.9796,-87.90446,EGE,11:45,11,13:35,1621,-19.4,21.6,40.7,0.0,0.0,100,3,56.0,53.0,1.0,0,carrier,0.0,10.0,0.0,2015-01-08 11:45:00,13:35,2015-01-05,4320.0,0,0.6672439843444153,AMBER,weather,Moderate wind gusts (40 km/h),"Monitor weather, prepare for ground stop"
2015-01-08_AA2349,2015-01-08,4,AA,2349,N015AA,ORD,41.9796,-87.90446,DFW,18:45,18,21:14,1291,-11.2,28.8,60.1,0.2,0.14,99,71,160.0,149.0,1.0,0,carrier,29.0,51.0,53.0,2015-01-08 18:45:00,13:35,2015-01-08,420.0,0,0.9397786255788676,RED,cascade,Inbound aircraft 53 min late on previous leg,Consider aircraft swap or extend turnaround
2015-01-09_AA1080,2015-01-09,5,AA,1080,N016AA,ORD,41.9796,-87.90446,EGE,11:45,11,13:35,1621,-16.8,19.1,43.9,0.0,0.0,66,2,-4.0,-8.0,0.0,0,none,,,0.0,2015-01-09 11:45:00,,,120.0,0,0.5970217948862077,AMBER,weather,Moderate wind gusts (43 km/h),"Monitor weather, prepare for ground stop"
