record_id,flight_number,route,origin_iata,origin_airport,destination_iata,destination_airport,days_of_week,departure_time_local,arrival_time_local,duration,origin_coordinates,destination_coordinates,distance_km,quality_flag
4Y210-FRA-DJE-04:45,4Y210,FRA-DJE,FRA,Frankfurt Airport,DJE,Djerba-Zarzis International Airport,Wednesday;Saturday,04:45,06:30,2h45m,"50.0379,8.5622","33.875,10.7755",1806,ok
4Y530-FRA-IBZ-04:45,4Y530,FRA-IBZ,FRA,Frankfurt Airport,IBZ,Ibiza Airport,Saturday,04:45,07:00,2h15m,"50.0379,8.5622","38.8729,1.3731",1365,ok
4Y1200-FRA-RHO-04:45,4Y1200,FRA-RHO,FRA,Frankfurt Airport,RHO,Rhodes International Airport,Sunday,04:45,08:50,3h5m,"50.0379,8.5622","36.4054,28.0862",2179,ok
4Y900-FRA-DBV-04:45,4Y900,FRA-DBV,FRA,Frankfurt Airport,DBV,Dubrovnik Airport,Saturday,04:45,06:35,1h50m,"50.0379,8.5622","42.5614,18.2682",1115,ok
4Y1202-FRA-KGS-04:45,4Y1202,FRA-KGS,FRA,Frankfurt Airport,KGS,Kos International Airport,Monday,04:45,08:55,3h10m,"50.0379,8.5622","36.7933,27.0917",2089,ok
4Y1210-FRA-CFU-04:45,4Y1210,FRA-CFU,FRA,Frankfurt Airport,CFU,Corfu International Airport,Sunday,04:45,08:05,2h20m,"50.0379,8.5622","39.6019,19.9117",1462,ok
4Y1204-FRA-HER-04:45,4Y1204,FRA-HER,FRA,Frankfurt Airport,HER,Heraklion International Airport,Sunday,04:45,08:45,3h,"50.0379,8.5622","35.3397,25.1803",2115,ok
4Y802-FRA-BRI-04:45,4Y802,FRA-BRI,FRA,Frankfurt Airport,BRI,Bari Karol Wojtyla Airport,Saturday,04:45,06:45,2h,"50.0379,8.5622","41.1389,16.7606",1176,ok
4Y202-FRA-RAK-04:50,4Y202,FRA-RAK,FRA,Frankfurt Airport,RAK,Marrakesh Menara Airport,Sunday,04:50,07:40,3h50m,"50.0379,8.5622","31.6069,-8.0363",2468,ok
4Y1206-FRA-CHQ-04:50,4Y1206,FRA-CHQ,FRA,Frankfurt Airport,CHQ,Chania International Airport,Thursday,04:50,08:50,3h,"50.0379,8.5622","35.5317,24.1497",2046,review
4Y1204-FRA-HER-04:50,4Y1204,FRA-HER,FRA,Frankfurt Airport,HER,Heraklion International Airport,Wednesday;Thursday;Saturday,04:50,08:50,3h,"50.0379,8.5622","35.3397,25.1803",2115,ok
4Y1400-FRA-BOJ-04:50,4Y1400,FRA-BOJ,FRA,Frankfurt Airport,BOJ,Burgas Airport,Sunday,04:50,08:25,2h35m,"50.0379,8.5622","42.5696,27.5152",1669,ok
4Y900-FRA-DBV-04:55,4Y900,FRA-DBV,FRA,Frankfurt Airport,DBV,Dubrovnik Airport,Saturday,04:55,06:45,1h50m,"50.0379,8.5622","42.5614,18.2682",1115,ok
4Y1408-FRA-VAR-05:05,4Y1408,FRA-VAR,FRA,Frankfurt Airport,VAR,Varna Airport,Thursday,05:05,08:35,2h30m,"50.0379,8.5622","43.2321,27.8251",1647,ok
4Y1204-FRA-HER-05:05,4Y1204,FRA-HER,FRA,Frankfurt Airport,HER,Heraklion International Airport,Monday,05:05,09:05,3h,"50.0379,8.5622","35.3397,25.1803",2115,ok
4Y1408-FRA-VAR-05:10,4Y1408,FRA-VAR,FRA,Frankfurt Airport,VAR,Varna Airport,Sunday,05:10,08:40,2h30m,"50.0379,8.5622","43.2321,27.8251",1647,ok
4Y912-FRA-SPU-05:15,4Y912,FRA-SPU,FRA,Frankfurt Airport,SPU,Split Airport,Sunday,05:15,06:55,1h40m,"50.0379,8.5622","43.5389,16.298",931,ok
4Y214-FRA-MIR-05:15,4Y214,FRA-MIR,FRA,Frankfurt Airport,MIR,Monastir Habib Bourguiba International Airport,Monday,05:15,06:45,2h30m,"50.0379,8.5622","35.7581,10.7547",1598,ok
4Y910-FRA-ZAD-05:20,4Y910,FRA-ZAD,FRA,Frankfurt Airport,ZAD,Zadar Airport,Sunday,05:20,06:50,1h30m,"50.0379,8.5622","44.1083,15.3467",835,ok
